sentence,label
I felt some headache so I rested after breakfast,1
I helped Charlie with taking out the trash for a few minutes,0
I wore my mobility scooter as the doctor advised in the evening,1
my neighbor helped me with my insulin shot during the day,1
I spent for a few minutes sweeping the floor today,0
I measured my blood pressure in the hospital during the day,1
I noticed the furniture was dusty while I was painting at night,0
I invited Grace over for some cooking at night,0
I used my smart scale to get to the kitchen in the afternoon,1
I took a shower with help from my family member in the evening,1
I went to the park for some photography for an hour,0
I measured my blood pressure in the therapist's office in the afternoon,1
my family member helped me with my appointment after breakfast,1
I felt some fatigue so I rested during the day,1
my helper helped me with my cognitive exercises in the evening,1
I asked my family to remind me about the insulin shot during the day,1
I went to the home health agency for a checkup at night,1
I invited Frank over for some dancing after dinner,0
I spent for a while painting with Eve in the afternoon,0
I set a reminder to take my denture cream in the evening,1
I followed my fall prevention measures plan after breakfast,1
I talked to David about gardening for a short time,0
I really enjoyed doing puzzles at night,0
I invited Heidi over for some playing music in the afternoon,0
I took a shower with help from my support person before bed,1
my aide helped me with my hydration reminder at night,1
I checked my calendar for the next pharmacist visit during the day,1
I felt like gardening would be a nice way to spend the after breakfast,0
my assistant helped me with my diet plan in the morning,1
I followed my mental health check-in plan after dinner,1
I wore my walker as the doctor advised in the morning,1
I updated my son about my fever in the evening,1
I called the oncologist to confirm my visit before bed,1
my aide helped me with my therapy during the day,1
I spent for an hour cleaning the kitchen today,0
I called the home care nurse to confirm my visit at night,1
my caregiver helped me with my therapy after breakfast,1
I practiced my sleep routine with the dietitian in the morning,1
I called the optometrist to confirm my visit after dinner,1
I really enjoyed traveling in the evening,0
I talked to Judy about hiking for an hour,0
I invited Grace over for some traveling in the afternoon,0
I used the gaming console for knitting for a while,0
I practiced my physio session with the dentist at night,1
I used my thermometer to get to the kitchen during the day,1
I went to the physiotherapy center for a checkup after breakfast,1
I used my assistive communication device to get to the kitchen in the evening,1
I asked my family to remind me about the diet plan during the day,1
I invited Alice over for some doing puzzles in the morning,0
my aide helped me with my therapy at night,1
I was using the phone to look up more about fishing during the day,0
I updated my aide about my swelling during the day,1
I practiced my rehab exercises with the occupational therapist during the day,1
I checked the expiry date on my CPAP mask in the afternoon,1
I talked to Frank about writing for two hours,0
I followed my mental health check-in plan during the day,1
I updated my assistant about my mood changes in the morning,1
I checked my calendar for the next ophthalmologist visit in the afternoon,1
I helped Alice with sweeping the floor for a few minutes,0
I talked to Alice about playing music for a few minutes,0
I spent for a short time doing a puzzle with Bob after dinner,0
I checked the headphones for messages after breakfast,0
I used my CPAP machine to get to the kitchen after breakfast,1
I wore my pulse oximeter as the doctor advised during the day,1
I misplaced the phone while I was vacuuming the living room in the morning,0
I called the geriatrician to confirm my visit at night,1
I really enjoyed bird watching in the evening,0
I noticed the TV was dusty while I was watching a movie at night,0
I updated my companion about my dizziness at night,1
I practiced my sleep routine with the optometrist in the afternoon,1
I called the cardiologist to confirm my visit before bed,1
I asked my family to remind me about the fall prevention measures during the day,1
I applied the denture cream to my skin in the afternoon,1
I helped Judy with mopping the floor for two hours,0
I practiced my physio session with the podiatrist during the day,1
I measured my blood pressure in the adult day care center before bed,1
I invited David over for some photography after dinner,0
I applied the wheelchair to my skin before bed,1
I noticed the phone was dusty while I was painting after breakfast,0
I checked my calendar for the next therapist visit after dinner,1
I scheduled an appointment with the caregiver after breakfast,1
I organized my fitness tracker into the weekly pill box in the evening,1
I used my pulse oximeter to get to the kitchen before bed,1
I called the urologist to confirm my visit after breakfast,1
I asked my family to remind me about the mental health check-in in the afternoon,1
I really enjoyed gardening in the morning,0
my family member helped me with my hydration reminder after breakfast,1
I used my smart home health device to get to the kitchen in the morning,1
I practiced knitting for a while in the evening,0
I called the physiotherapist to confirm my visit after breakfast,1
I practiced my medication with the urologist after breakfast,1
my son helped me with my medication in the morning,1
I went to the clinic for a checkup in the afternoon,1
my daughter helped me with my physio session in the evening,1
I used the headphones for knitting for an hour,0
I scheduled an appointment with the chiropractor after breakfast,1
I scheduled an appointment with the rheumatologist at night,1
I practiced my medication with the geriatrician after dinner,1
I checked the e-reader for messages during the day,0
I checked the smartwatch for messages after dinner,0
my daughter helped me with my mobility practice during the day,1
I spent for a short time on my gaming console during the day,0
I scheduled an appointment with the psychiatrist after breakfast,1
I practiced my medication with the doula in the morning,1
I scheduled an appointment with the aesthetician after dinner,1
I checked my calendar for the next specialist visit during the day,1
I felt like painting would be a nice way to spend the in the morning,0
I checked my calendar for the next endocrinologist visit at night,1
I practiced my emergency preparedness plan with the hospice worker in the afternoon,1
I set a reminder to take my fitness tracker before bed,1
I scheduled an appointment with the dietitian after breakfast,1
I went to the park for some gardening for a few minutes,0
I practiced my sleep routine with the geriatrician in the afternoon,1
I called the midwife to confirm my visit after dinner,1
I felt some mood changes so I rested after dinner,1
I was knitting and lost track of time after dinner,0
I put the decorations back where it belongs in the afternoon,0
my helper helped me with my exercise during the day,1
I set a reminder to take my inhaler after breakfast,1
I helped Bob with washing dishes for a while,0
I went to the palliative care unit for a checkup during the day,1
I was using the TV to look up more about photography in the afternoon,0
my spouse helped me with my social engagement after breakfast,1
I set a reminder to take my supplements in the afternoon,1
I was using the headphones to look up more about painting after dinner,0
I went to the hospital for a checkup at night,1
my son helped me with my fall prevention measures at night,1
I updated my caregiver about my joint pain at night,1
I used my medication reminder device to get to the kitchen after breakfast,1
I put the magazine back where it belongs before bed,0
I called the urologist to confirm my visit during the day,1
I measured my blood pressure in the home health agency after breakfast,1
I focused on folding laundry in the evening,0
I asked my family to remind me about the symptom tracking before bed,1
I checked my calendar for the next rheumatologist visit in the afternoon,1
I updated my helper about my nausea before bed,1
I scheduled an appointment with the ophthalmologist before bed,1
I noticed the decorations was dusty while I was doing a puzzle in the morning,0
I checked the expiry date on my inhaler at night,1
I spent for a short time on my gaming console after breakfast,0
I spent for an hour on my headphones after breakfast,0
I was using the gaming console to look up more about doing puzzles before bed,0
I practiced my social engagement with the endocrinologist after breakfast,1
I spent for a short time on my speaker after dinner,0
I was knitting and lost track of time after breakfast,0
I helped Heidi with dusting the shelves for two hours,0
I updated my companion about my shortness of breath in the evening,1
I updated my caregiver about my headache after dinner,1
I practiced my sleep routine with the audiologist in the afternoon,1
I spent for an hour gardening with Grace during the day,0
I invited Alice over for some yoga during the day,0
I called the geriatrician to confirm my visit after dinner,1
I put the magazine back where it belongs during the day,0
I used my emergency alert system to get to the kitchen during the day,1
I scheduled an appointment with the nurse before bed,1
I called the herbalist to confirm my visit after breakfast,1
I checked my calendar for the next podiatrist visit in the afternoon,1
I checked the expiry date on my bandage during the day,1
I practiced meditation for a short time during the day,0
I wore my wheelchair as the doctor advised at night,1
I used the e-reader for playing a game for a few minutes,0
I spent for a few minutes on my smartwatch after dinner,0
my support person helped me with my hydration reminder at night,1
my family member helped me with my appointment before bed,1
I checked my calendar for the next home care nurse visit in the morning,1
I wore my oxygen tank as the doctor advised at night,1
I measured my blood pressure in the dentist's office after dinner,1
I asked my family to remind me about the appointment after breakfast,1
I checked my calendar for the next counselor visit during the day,1
I practiced my diet plan with the palliative care specialist in the afternoon,1
I helped Ivan with sweeping the floor for a few minutes,0
I went to the physiotherapy center for a checkup at night,1
I scheduled an appointment with the neurologist after dinner,1
I measured my blood pressure in the hospital in the morning,1
I followed my exercise plan after breakfast,1
I used the radio for watching a movie for a short time,0
I measured my blood pressure in the doctor's office after breakfast,1
I called the palliative care specialist to confirm my visit after breakfast,1
I took a shower with help from my companion after breakfast,1
I checked the expiry date on my ointment before bed,1
I practiced my blood test with the physiotherapist before bed,1
I invited Charlie over for some gardening at night,0
I was playing a game and lost track of time in the morning,0
I put the radio back where it belongs in the afternoon,0
I went to the park for some dancing for a short time,0
I wore my orthotic brace as the doctor advised during the day,1
I invited Charlie over for some photography at night,0
my caregiver helped me with my mobility practice during the day,1
I helped Alice with taking out the trash for a short time,0
I went to the park for some volunteering for two hours,0
I spent for a few minutes on my phone at night,0
I asked my family to remind me about the insulin shot after breakfast,1
I spent for a few minutes listening to music with Ivan in the afternoon,0
my companion helped me with my diet plan in the morning,1
I scheduled an appointment with the acupuncturist at night,1
I called the nurse to confirm my visit at night,1
I went to the park for some hiking for an hour,0
I felt some rash so I rested during the day,1
I felt some mood changes so I rested before bed,1
I felt some rash so I rested after dinner,1
I checked the expiry date on my insulin before bed,1
I spent for an hour listening to music with Heidi before bed,0
I felt some joint pain so I rested during the day,1
I checked my calendar for the next doula visit in the evening,1
I checked my calendar for the next rheumatologist visit at night,1
I followed my rehab exercises plan in the evening,1
I asked my family to remind me about the rehab exercises in the evening,1
I really enjoyed painting before bed,0
I checked my calendar for the next herbalist visit before bed,1
I practiced traveling for a few minutes after breakfast,0
I helped Frank with dusting the shelves for a while,0
I scheduled an appointment with the dietitian during the day,1
I practiced my exercise with the neurologist after dinner,1
I practiced my appointment with the dietitian in the evening,1
I checked my calendar for the next doula visit in the morning,1
I followed my rehab exercises plan before bed,1
I really enjoyed fishing after breakfast,0
I felt like traveling would be a nice way to spend the after dinner,0
I used my oxygen tank to get to the kitchen in the morning,1
I measured my blood pressure in the rehab center during the day,1
I noticed the book was dusty while I was knitting after dinner,0
I invited Ivan over for some gardening in the morning,0
I called the psychiatrist to confirm my visit at night,1
I was doing a puzzle and lost track of time in the evening,0
I went to the park for some meditation for two hours,0
I checked the expiry date on my heart rate monitor in the morning,1
I practiced my health monitoring with the acupuncturist at night,1
I noticed the kitchen appliances was dusty while I was painting at night,0
I talked to Charlie about playing board games for a few minutes,0
I really enjoyed cooking during the day,0
I used my medication reminder device to get to the kitchen after dinner,1
I was doing a puzzle and lost track of time at night,0
I spent for a few minutes on my tablet during the day,0
I practiced bird watching for a short time after dinner,0
I updated my spouse about my dizziness after breakfast,1
I was watching a movie and lost track of time after dinner,0
I invited Bob over for some traveling before bed,0
I measured my blood pressure in the doctor's office before bed,1
my spouse helped me with my medication before bed,1
I practiced my mobility practice with the podiatrist in the evening,1
I noticed the phone was dusty while I was listening to music in the evening,0
I practiced my sleep routine with the caregiver in the afternoon,1
I used my emergency alert system to get to the kitchen before bed,1
I spent for a few minutes on my tablet in the evening,0
I spent for a few minutes on my headphones during the day,0
my assistant helped me with my appointment during the day,1
I wore my orthotic brace as the doctor advised at night,1
I measured my blood pressure in the health center in the afternoon,1
I organized my CPAP mask into the weekly pill box at night,1
I followed my sleep routine plan in the afternoon,1
I went to the dentist's office for a checkup after breakfast,1
I practiced my diet plan with the pulmonologist during the day,1
I went to the outpatient center for a checkup before bed,1
I followed my mental health check-in plan at night,1
I took a shower with help from my neighbor after breakfast,1
I invited Bob over for some gardening in the evening,0
I used my medication reminder device to get to the kitchen in the morning,1
I scheduled an appointment with the physiotherapist in the morning,1
I scheduled an appointment with the palliative care specialist after dinner,1
I used the headphones for watching a movie for a while,0
I misplaced the TV while I was washing dishes before bed,0
I used the smartwatch for gardening for a short time,0
I was using the smartwatch to look up more about photography at night,0
I invited Bob over for some fishing in the afternoon,0
I used the laptop for cooking dinner for an hour,0
I noticed the tools was dusty while I was listening to music after dinner,0
I scheduled an appointment with the audiologist before bed,1
I focused on taking out the trash before bed,0
I practiced my symptom tracking with the nurse after dinner,1
I focused on sweeping the floor in the morning,0
I focused on vacuuming the living room before bed,0
I updated my neighbor about my sore throat before bed,1
I followed my weight check plan in the afternoon,1
I invited Judy over for some playing board games before bed,0
I called the dentist to confirm my visit in the afternoon,1
I practiced my social engagement with the nurse at night,1
I spent for a few minutes on my laptop before bed,0
I was using the smartwatch to look up more about doing puzzles after breakfast,0
I practiced my symptom tracking with the dentist after dinner,1
I called the dentist to confirm my visit during the day,1
I noticed the laptop was dusty while I was watching a movie during the day,0
I asked my family to remind me about the cognitive exercises after breakfast,1
I was watching a movie and lost track of time before bed,0
I practiced my cognitive exercises with the specialist in the afternoon,1
I invited Frank over for some dancing during the day,0
I went to the park for some volunteering for a few minutes,0
I followed my exercise plan in the afternoon,1
I misplaced the newspaper while I was folding laundry at night,0
I went to the dentist's office for a checkup after dinner,1
my daughter helped me with my symptom tracking after breakfast,1
I helped Eve with dusting the shelves for a few minutes,0
I updated my caregiver about my chest pain in the afternoon,1
I checked my calendar for the next caregiver visit in the afternoon,1
I practiced my rehab exercises with the hospice worker in the evening,1
I applied the eye drops to my skin in the afternoon,1
I updated my family member about my shortness of breath at night,1
I checked my calendar for the next pharmacist visit in the afternoon,1
I followed my appointment plan in the morning,1
I felt like doing puzzles would be a nice way to spend the at night,0
I spent for a short time on my speaker in the afternoon,0
I practiced my emergency preparedness plan with the psychiatrist after breakfast,1
my friend helped me with my mental health check-in in the morning,1
I put the kitchen appliances back where it belongs after breakfast,0
I spent for a while listening to music with Alice in the afternoon,0
I updated my caregiver about my headache at night,1
I scheduled an appointment with the nurse in the morning,1
I was using the phone to look up more about knitting in the evening,0
I used my CPAP machine to get to the kitchen in the evening,1
I practiced fishing for an hour before bed,0
I spent for two hours on my speaker in the evening,0
I checked the headphones for messages in the evening,0
I went to the therapist's office for a checkup during the day,1
I organized my blood sugar monitor into the weekly pill box before bed,1
I updated my family member about my fatigue after dinner,1
I checked the expiry date on my hearing aid batteries before bed,1
I spent for a short time on my TV in the evening,0
I took a shower with help from my spouse before bed,1
I used my heart rate monitor to get to the kitchen during the day,1
I was using the TV to look up more about doing puzzles at night,0
I followed my emergency preparedness plan plan after breakfast,1
I practiced my medication with the rheumatologist at night,1
I went to the rehab center for a checkup after dinner,1
I asked my family to remind me about the hydration reminder after breakfast,1
I spent for an hour on my tablet in the morning,0
I practiced my hydration reminder with the optometrist at night,1
I called the oncologist to confirm my visit in the afternoon,1
my spouse helped me with my fall prevention measures in the morning,1
I applied the inhaler to my skin before bed,1
I followed my social engagement plan in the afternoon,1
I wore my medical bracelet as the doctor advised in the evening,1
I spent for a few minutes watering the plants today,0
I set a reminder to take my medicine in the afternoon,1
I invited Frank over for some collecting stamps in the evening,0
I invited Bob over for some painting before bed,0
I practiced my physio session with the urologist during the day,1
I organized my heart rate monitor into the weekly pill box in the afternoon,1
I scheduled an appointment with the dentist in the evening,1
I scheduled an appointment with the dentist at night,1
I spent for a while doing a puzzle with Eve after dinner,0
my assistant helped me with my symptom tracking in the afternoon,1
I noticed the phone was dusty while I was cooking dinner in the morning,0
I practiced my hydration reminder with the palliative care specialist in the morning,1
I was using the radio to look up more about writing before bed,0
my helper helped me with my mental health check-in in the evening,1
I noticed the laptop was dusty while I was painting after breakfast,0
I practiced my medication with the massage therapist at night,1
I scheduled an appointment with the specialist in the evening,1
I asked my family to remind me about the hygiene routine after dinner,1
I practiced volunteering for a short time before bed,0
I spent for two hours going for a walk with Charlie before bed,0
I updated my caregiver about my nausea after breakfast,1
I wore my prosthetic limb as the doctor advised during the day,1
I applied the medical bracelet to my skin in the evening,1
I called the pharmacist to confirm my visit before bed,1
I applied the ointment to my skin in the evening,1
I put the magazine back where it belongs at night,0
I measured my blood pressure in the hospital after breakfast,1
I practiced my diet plan with the home health aide in the morning,1
I called the cardiologist to confirm my visit after dinner,1
I asked my family to remind me about the rehab exercises in the afternoon,1
I invited Bob over for some doing puzzles during the day,0
I updated my assistant about my swelling during the day,1
I was using the tablet to look up more about photography at night,0
I spent for a while sweeping the floor today,0
I checked my calendar for the next oncologist visit in the afternoon,1
I practiced my emergency preparedness plan with the naturopath after dinner,1
I went to the physiotherapy center for a checkup after dinner,1
I talked to Alice about dancing for an hour,0
I scheduled an appointment with the naturopath after breakfast,1
I practiced my diet plan with the aesthetician after breakfast,1
I spent for two hours going for a walk with Judy after dinner,0
I helped Frank with mopping the floor for an hour,0
I invited Eve over for some fishing during the day,0
I updated my support person about my joint pain before bed,1
I checked my calendar for the next home health aide visit in the morning,1
I went to the park for some photography for a short time,0
my assistant helped me with my mobility practice after dinner,1
I felt like yoga would be a nice way to spend the in the morning,0
I practiced my medication with the dentist after breakfast,1
I practiced my symptom tracking with the audiologist after breakfast,1
I scheduled an appointment with the aesthetician at night,1
my aide helped me with my health monitoring at night,1
I updated my helper about my chest pain in the morning,1
I felt like dancing would be a nice way to spend the in the afternoon,0
I scheduled an appointment with the chiropractor in the afternoon,1
I practiced hiking for two hours before bed,0
I talked to David about meditation for a while,0
I measured my blood pressure in the surgery center after breakfast,1
I was using the e-reader to look up more about hiking in the evening,0
I invited Heidi over for some dancing in the morning,0
I talked to Charlie about cooking for a few minutes,0
I checked my calendar for the next pharmacist visit before bed,1
I measured my blood pressure in the surgery center in the evening,1
I went to the hospice center for a checkup at night,1
I helped David with sweeping the floor for an hour,0
I checked the expiry date on my pills in the morning,1
I used the smartwatch for doing a puzzle for a few minutes,0
my daughter helped me with my appointment at night,1
I went to the imaging center for a checkup during the day,1
I was using the tablet to look up more about painting before bed,0
I measured my blood pressure in the pharmacy at night,1
I used the speaker for watching a movie for a while,0
I checked the expiry date on my medical bracelet after dinner,1
I focused on sweeping the floor during the day,0
I organized my vitamins into the weekly pill box during the day,1
I really enjoyed dancing in the evening,0
I helped Charlie with watering the plants for an hour,0
I used the radio for doing a puzzle for a short time,0
I practiced my exercise with the rheumatologist after breakfast,1
I called the occupational therapist to confirm my visit in the afternoon,1
I asked my family to remind me about the blood test at night,1
I talked to Judy about playing music for a few minutes,0
I updated my helper about my confusion after breakfast,1
I wore my glucometer as the doctor advised during the day,1
I practiced photography for a while in the evening,0
I scheduled an appointment with the personal trainer in the afternoon,1
I organized my cane into the weekly pill box during the day,1
I organized my eye drops into the weekly pill box before bed,1
I used the laptop for knitting for two hours,0
I scheduled an appointment with the dietitian in the morning,1
I checked my calendar for the next cardiologist visit in the morning,1
I measured my blood pressure in the community health clinic at night,1
I updated my neighbor about my headache in the evening,1
I used the headphones for cooking dinner for two hours,0
I practiced my rehab exercises with the neurologist after dinner,1
I used my emergency alert system to get to the kitchen in the morning,1
I spent for a while gardening with Ivan after breakfast,0
I noticed the cleaning supplies was dusty while I was going for a walk in the morning,0
I went to the park for some hiking for a few minutes,0
I practiced my insulin shot with the nurse in the evening,1
I really enjoyed dancing in the morning,0
I practiced doing puzzles for a while after dinner,0
I practiced volunteering for a few minutes in the morning,0
I spent for an hour knitting with Alice at night,0
I spent for an hour on my gaming console before bed,0
I practiced my fall prevention measures with the social worker in the evening,1
I updated my aide about my dizziness after breakfast,1
I wore my prosthetic limb as the doctor advised in the afternoon,1
I used my prosthetic limb to get to the kitchen during the day,1
I went to the health center for a checkup at night,1
I checked my calendar for the next podiatrist visit after breakfast,1
I spent for a while knitting with David in the afternoon,0
I updated my family member about my shortness of breath in the afternoon,1
I talked to Ivan about cooking for a while,0
I was using the headphones to look up more about painting before bed,0
I wore my smart home health device as the doctor advised after breakfast,1
I spent for an hour gardening with Frank in the evening,0
I measured my blood pressure in the pharmacy after breakfast,1
I invited Ivan over for some hiking before bed,0
I checked the gaming console for messages before bed,0
my assistant helped me with my medication at night,1
I asked my family to remind me about the hygiene routine in the evening,1
my daughter helped me with my exercise in the evening,1
I scheduled an appointment with the respite care provider during the day,1
I felt like meditation would be a nice way to spend the in the evening,0
I scheduled an appointment with the home care nurse in the evening,1
I practiced my rehab exercises with the specialist in the morning,1
I organized my bandage into the weekly pill box after dinner,1
I measured my blood pressure in the dentist's office before bed,1
I organized my bandage into the weekly pill box in the afternoon,1
I applied the medicine to my skin at night,1
I checked the tablet for messages during the day,0
I measured my blood pressure in the therapist's office during the day,1
I misplaced the book while I was organizing the closet after dinner,0
I helped Grace with cleaning the kitchen for a short time,0
I organized my wheelchair into the weekly pill box before bed,1
I talked to Frank about doing puzzles for a few minutes,0
I felt like playing music would be a nice way to spend the before bed,0
I checked the gaming console for messages after dinner,0
I used my emergency alert system to get to the kitchen in the evening,1
I was using the tablet to look up more about meditation before bed,0
I checked my calendar for the next oncologist visit in the evening,1
I noticed the decorations was dusty while I was reading a book after breakfast,0
my caregiver helped me with my medication during the day,1
I measured my blood pressure in the health center before bed,1
I spent for a while doing a puzzle with Bob after breakfast,0
I practiced knitting for a short time after dinner,0
my support person helped me with my weight check during the day,1
I used my medication reminder device to get to the kitchen before bed,1
I checked my calendar for the next doula visit after breakfast,1
I went to the memory care unit for a checkup in the evening,1
I noticed the radio was dusty while I was reading a book in the morning,0
I spent for a while cooking dinner with Eve during the day,0
I misplaced the book while I was mopping the floor after breakfast,0
I invited Alice over for some volunteering after breakfast,0
my support person helped me with my health monitoring at night,1
I organized my walker into the weekly pill box in the morning,1
I followed my sleep routine plan at night,1
I felt like bird watching would be a nice way to spend the after breakfast,0
I set a reminder to take my supplements after dinner,1
I called the rheumatologist to confirm my visit before bed,1
I asked my family to remind me about the sleep routine during the day,1
I went to the nursing home for a checkup in the evening,1
I went to the park for some writing for two hours,0
I focused on folding laundry at night,0
I set a reminder to take my CPAP mask in the morning,1
I measured my blood pressure in the specialist's office after dinner,1
I misplaced the TV while I was vacuuming the living room in the afternoon,0
I checked my calendar for the next oncologist visit before bed,1
I spent for a while watching a movie with David at night,0
I was using the radio to look up more about traveling after dinner,0
I put the phone back where it belongs during the day,0
I took a shower with help from my son in the afternoon,1
I practiced my emergency preparedness plan with the audiologist before bed,1
I invited David over for some playing music after dinner,0
I followed my blood test plan in the evening,1
my son helped me with my physio session during the day,1
I measured my blood pressure in the specialist's office at night,1
my aide helped me with my mental health check-in in the afternoon,1
I was cooking dinner and lost track of time after breakfast,0
I felt some fatigue so I rested in the afternoon,1
my spouse helped me with my sleep routine in the afternoon,1
I talked to Alice about playing music for an hour,0
I called the nurse to confirm my visit in the evening,1
I practiced my sleep routine with the aesthetician after breakfast,1
I called the neurologist to confirm my visit at night,1
I spent for two hours going for a walk with Frank after dinner,0
I helped Alice with dusting the shelves for an hour,0
I practiced my weight check with the geriatrician before bed,1
I noticed the tools was dusty while I was going for a walk in the morning,0
I spent for a while gardening with Ivan in the evening,0
I felt like painting would be a nice way to spend the after dinner,0
I was using the laptop to look up more about dancing after dinner,0
I misplaced the radio while I was taking out the trash at night,0
I used my heart rate monitor to get to the kitchen at night,1
I noticed the cleaning supplies was dusty while I was cooking dinner in the morning,0
I misplaced the furniture while I was vacuuming the living room at night,0
I invited David over for some meditation in the morning,0
my friend helped me with my cognitive exercises in the evening,1
I checked the expiry date on my wheelchair after breakfast,1
I talked to Bob about painting for two hours,0
I helped Heidi with cleaning the kitchen for a few minutes,0
I took a shower with help from my neighbor in the afternoon,1
I used the speaker for playing a game for a while,0
I followed my symptom tracking plan after breakfast,1
I asked my family to remind me about the mental health check-in after dinner,1
I called the naturopath to confirm my visit after breakfast,1
I practiced my health monitoring with the home health aide before bed,1
I focused on cleaning the kitchen during the day,0
I scheduled an appointment with the massage therapist in the evening,1
I used the gaming console for playing a game for a short time,0
I felt like traveling would be a nice way to spend the at night,0
I spent for a few minutes knitting with Charlie in the morning,0
I wore my oxygen tank as the doctor advised in the evening,1
I measured my blood pressure in the pharmacy before bed,1
I updated my neighbor about my dizziness in the afternoon,1
I practiced my mobility practice with the acupuncturist in the morning,1
I was doing a puzzle and lost track of time during the day,0
I used the smartwatch for gardening for an hour,0
I put the book back where it belongs at night,0
I used my smart scale to get to the kitchen at night,1
I noticed the furniture was dusty while I was cooking dinner after breakfast,0
I practiced my emergency preparedness plan with the personal trainer in the morning,1
I spent for two hours on my phone at night,0
I set a reminder to take my pills after dinner,1
I misplaced the remote control while I was organizing the closet before bed,0
I checked my calendar for the next endocrinologist visit before bed,1
I was using the laptop to look up more about writing before bed,0
I updated my family member about my nausea after dinner,1
I checked the headphones for messages at night,0
I scheduled an appointment with the urologist in the afternoon,1
I practiced my exercise with the neurologist before bed,1
I invited Heidi over for some bird watching in the morning,0
I spent for two hours watching a movie with Frank in the afternoon,0
I really enjoyed yoga at night,0
I applied the denture cream to my skin in the morning,1
I organized my pills into the weekly pill box at night,1
I spent for a few minutes playing a game with Alice during the day,0
I updated my companion about my dizziness after dinner,1
I helped David with mopping the floor for two hours,0
I practiced my insulin shot with the oncologist in the evening,1
I applied the pills to my skin after dinner,1
I was using the speaker to look up more about playing board games after dinner,0
I followed my health monitoring plan after breakfast,1
I practiced my appointment with the palliative care specialist during the day,1
I measured my blood pressure in the palliative care unit after breakfast,1
I set a reminder to take my pills before bed,1
I felt like playing music would be a nice way to spend the in the afternoon,0
I spent for an hour on my e-reader after dinner,0
my son helped me with my insulin shot after dinner,1
I scheduled an appointment with the ophthalmologist at night,1
I checked my calendar for the next respite care provider visit in the evening,1
I used the phone for painting for an hour,0
I went to the park for some dancing for a while,0
I called the specialist to confirm my visit after breakfast,1
I updated my spouse about my mood changes before bed,1
I noticed the furniture was dusty while I was listening to music in the morning,0
I followed my hygiene routine plan after breakfast,1
I wore my cane as the doctor advised in the morning,1
I spent for an hour painting with Alice before bed,0
I applied the pills to my skin at night,1
I used the laptop for listening to music for an hour,0
my aide helped me with my physio session during the day,1
I was using the gaming console to look up more about cooking in the evening,0
I really enjoyed gardening after breakfast,0
I spent for a few minutes on my gaming console at night,0
I practiced my social engagement with the therapist in the afternoon,1
my daughter helped me with my hygiene routine during the day,1
I measured my blood pressure in the community health clinic during the day,1
I talked to Charlie about writing for two hours,0
I misplaced the magazine while I was dusting the shelves at night,0
I went to the hospice center for a checkup in the morning,1
my support person helped me with my mobility practice in the morning,1
I took a shower with help from my family member at night,1
I updated my family member about my swelling in the evening,1
I updated my aide about my rash in the afternoon,1
I went to the diagnostic lab for a checkup at night,1
I updated my support person about my fatigue in the morning,1
I wore my smart scale as the doctor advised after dinner,1
I updated my friend about my shortness of breath before bed,1
I used my oxygen tank to get to the kitchen at night,1
I helped Eve with organizing the closet for a short time,0
I felt like doing puzzles would be a nice way to spend the before bed,0
I asked my family to remind me about the therapy before bed,1
I noticed the phone was dusty while I was gardening in the evening,0
I scheduled an appointment with the occupational therapist after breakfast,1
I practiced my therapy with the doula after dinner,1
I updated my spouse about my dizziness in the morning,1
I practiced my sleep routine with the personal trainer before bed,1
I misplaced the furniture while I was sweeping the floor during the day,0
I updated my neighbor about my fatigue in the morning,1
I used my glucometer to get to the kitchen in the morning,1
I checked my calendar for the next social worker visit in the morning,1
I misplaced the magazine while I was washing dishes in the evening,0
I spent for a while on my radio in the afternoon,0
I went to the therapist's office for a checkup in the morning,1
I measured my blood pressure in the specialist's office during the day,1
I spent for two hours going for a walk with Frank during the day,0
I spent for an hour dusting the shelves today,0
I focused on watering the plants after breakfast,0
I noticed the furniture was dusty while I was painting during the day,0
I updated my support person about my nausea in the evening,1
I felt like bird watching would be a nice way to spend the in the evening,0
my daughter helped me with my weight check in the evening,1
I really enjoyed doing puzzles in the afternoon,0
I went to the park for some cooking for a short time,0
I wore my CPAP machine as the doctor advised in the evening,1
I put the laptop back where it belongs in the afternoon,0
I used my orthotic brace to get to the kitchen in the evening,1
I scheduled an appointment with the doctor after breakfast,1
I misplaced the newspaper while I was sweeping the floor during the day,0
I was gardening and lost track of time after breakfast,0
I used the radio for listening to music for a short time,0
I updated my friend about my mood changes before bed,1
I practiced photography for an hour after breakfast,0
I spent for two hours watching a movie with Heidi after dinner,0
I helped Ivan with cleaning the kitchen for an hour,0
I helped Alice with washing dishes for a few minutes,0
I measured my blood pressure in the rehab center after dinner,1
I went to the rehab center for a checkup in the afternoon,1
my assistant helped me with my diet plan at night,1
I put the decorations back where it belongs at night,0
I checked my calendar for the next geriatrician visit in the morning,1
I felt some dizziness so I rested at night,1
my helper helped me with my symptom tracking before bed,1
I felt like dancing would be a nice way to spend the after dinner,0
I practiced my physio session with the aesthetician during the day,1
I called the doctor to confirm my visit after breakfast,1
I scheduled an appointment with the home care nurse after breakfast,1
I misplaced the TV while I was dusting the shelves in the morning,0
I went to the care facility for a checkup at night,1
my aide helped me with my insulin shot after breakfast,1
I really enjoyed hiking before bed,0
I checked the expiry date on my medicine during the day,1
I spent for a few minutes listening to music with David after dinner,0
